Q134307,portrait
Q191163,landscape art
Q170571,still life
Q1400853,portrait painting
Q158607,marine art
Q2864737,religious art
Q192110,self-portrait
Q1047337,genre art
Q282129,portrait miniature
Q18822288,architectural view
Q33162389,byōbu-e
Q1144689,folding screen
Q12681,calligraphy
Q1935974,cityscape
Q17489160,bust
Q185905,ukiyo-e
Q61409754,fruit painting
Q616973,Yakusha-e
Q1683337,nishiki-e
Q11630233,Mitate-e
Q2094039,surimono
Q3304751,Meisho-e
Q284521,bijinga
Q213371,vitreous enamel
Q162150,abstraction
Q1048478,shunga
Q60326179,ehon
Q11534039,Hashira-e
Q59912869,abuna-e
Q40446,nude
Q3594027,Ōkubi-e
Q19547247,family portrait
Q3374376,mythological painting
Q12303833,floral painting
Q16875712,animal art
Q214127,genre painting
Q19968941,double portrait
Q11447860,kodomo-e
Q11650541,Shimbun Nishiki-e
Q4845479,grand couturier
Q742333,history painting
Q2839016,allegory
Q7523427,singerie
Q11615742,Bird-and-flower painting of Japan
Q3341836,Nikuhitsuga
Q3049247,Egoyomi
Q1277524,Gothic sculpture
Q2278308,capriccio
Q5647631,handscroll
Q18811686,interior view
Q248101,Benin Bronzes
Q468930,trompe-l'œil
Q629602,black-figure pottery
Q3374353,battle painting
Q21074330,church interior
Q3399515,equestrian portrait
Q166030,veduta
Q18353841,architectural painting
Q11546300,musha-e
Q40415,Impressionism
Q1433099,tronie
Q368972,lacquerware
Q11145889,Rakuchū Rakugai Zu
Q2293362,sculptural group
Q12544,Byzantine Empire
Q2414609,religious painting
Q758170,Attic vase-painting
Q12404052,Jewish art
Q633683,red-figure pottery
Q763709,white ground technique
Q1001041,Buddhist art
Q383898,military art
Q11499475,kyōkun-e
Q193220,hand fan
Q16675884,religious sculpture
Q1551015,group portrait
Q898700,silhouette
Q22060043,linocut print
Q28777669,portrait sculpture
Q173782,Art Deco
Q733095,vanitas
Q1734271,Carolingian illumination
Q878985,modernism
Q4731380,allegorical sculpture
Q12554,Middle Ages
Q26965555,hunting deck
Q1372128,Euboean vase painting
Q1503278,Ancient Greek Geometric pottery
Q18783399,mythological sculpture
Q182956,portrait photography
Q128115,abstract art
Q830331,Etruscan art
Q2083647,funerary art
Q211884,Byzantine art
Q217213,action painting
Q8362,illumination
Q7127251,"Palepai, Sumatran ships cloth"
Q2035550,East Greek vase painting
Q9134,mythology
Q21029893,religious object
