creator,creatorLabel,linkcount
http://www.wikidata.org/entity/Q762,Leonardo da Vinci,277
http://www.wikidata.org/entity/Q5592,Michelangelo,238
http://www.wikidata.org/entity/Q5593,Pablo Picasso,236
http://www.wikidata.org/entity/Q5582,Vincent van Gogh,235
http://www.wikidata.org/entity/Q5577,Salvador Dalí,207
http://www.wikidata.org/entity/Q5598,Rembrandt,179
http://www.wikidata.org/entity/Q2277,Roman Empire,175
http://www.wikidata.org/entity/Q5580,Albrecht Dürer,169
http://www.wikidata.org/entity/Q5597,Raphael,167
http://www.wikidata.org/entity/Q4724,Le Corbusier,165
http://www.wikidata.org/entity/Q5432,Francisco Goya,162
http://www.wikidata.org/entity/Q5604,Frank Lloyd Wright,159
http://www.wikidata.org/entity/Q5603,Andy Warhol,158
http://www.wikidata.org/entity/Q5589,Henri Matisse,155
http://www.wikidata.org/entity/Q5586,Katsushika Hokusai,151
http://www.wikidata.org/entity/Q5599,Peter Paul Rubens,146
http://www.wikidata.org/entity/Q41513,William Blake,146
http://www.wikidata.org/entity/Q38082,Lewis Carroll,141
http://www.wikidata.org/entity/Q297,Diego Velázquez,141
http://www.wikidata.org/entity/Q79759,John Milton,140
http://www.wikidata.org/entity/Q47737,Kahlil Gibran,140
http://www.wikidata.org/entity/Q296,Claude Monet,136
http://www.wikidata.org/entity/Q23380,Jean-Auguste-Dominique Ingres,127
http://www.wikidata.org/entity/Q35548,Paul Cézanne,123
http://www.wikidata.org/entity/Q36949,Robert De Niro,122
http://www.wikidata.org/entity/Q43459,Ferdowsi,117
http://www.wikidata.org/entity/Q30755,Auguste Rodin,115
http://www.wikidata.org/entity/Q37693,Paul Gauguin,114
http://www.wikidata.org/entity/Q33477,Eugène Delacroix,110
http://www.wikidata.org/entity/Q41406,Edvard Munch,110
http://www.wikidata.org/entity/Q39931,Pierre-Auguste Renoir,105
http://www.wikidata.org/entity/Q301,El Greco,104
http://www.wikidata.org/entity/Q37571,Jackson Pollock,103
http://www.wikidata.org/entity/Q42207,Caravaggio,103
http://www.wikidata.org/entity/Q45661,Coco Chanel,103
http://www.wikidata.org/entity/Q41264,Johannes Vermeer,103
http://www.wikidata.org/entity/Q46373,Edgar Degas,102
http://www.wikidata.org/entity/Q40599,Édouard Manet,101
http://www.wikidata.org/entity/Q5669,Sandro Botticelli,99
http://www.wikidata.org/entity/Q152384,Joan Miró,96
http://www.wikidata.org/entity/Q34661,Gustav Klimt,95
http://www.wikidata.org/entity/Q61064,Wassily Kandinsky,93
http://www.wikidata.org/entity/Q47551,Titian,92
http://www.wikidata.org/entity/Q93284,Marc Chagall,92
http://www.wikidata.org/entity/Q75698,Samuel Morse,90
http://www.wikidata.org/entity/Q82445,Henri de Toulouse-Lautrec,89
http://www.wikidata.org/entity/Q7814,Giotto di Bondone,89
http://www.wikidata.org/entity/Q44007,Paul Klee,87
http://www.wikidata.org/entity/Q43270,Pieter Brueghel the Elder,87
http://www.wikidata.org/entity/Q83155,Jacques-Louis David,86
http://www.wikidata.org/entity/Q82840,Alvar Aalto,85
http://www.wikidata.org/entity/Q7836,René Magritte,84
http://www.wikidata.org/entity/Q55415,Leni Riefenstahl,83
http://www.wikidata.org/entity/Q41554,Nicolas Poussin,83
http://www.wikidata.org/entity/Q5912,Marcel Duchamp,83
http://www.wikidata.org/entity/Q130531,Hieronymus Bosch,82
http://www.wikidata.org/entity/Q120993,Amedeo Modigliani,81
http://www.wikidata.org/entity/Q41508,Ludwig Mies van der Rohe,81
http://www.wikidata.org/entity/Q102272,Jan van Eyck,81
http://www.wikidata.org/entity/Q159758,J. M. W. Turner,79
