Q812285,Bavarian State Painting Collections
Q842858,Nationalmuseum
Q18600731,Cultural Heritage Agency of the Netherlands Art Collection
Q333515,National Trust
Q153306,National Museum in Warsaw
Q160236,Metropolitan Museum of Art
Q2983474,Finnish National Gallery
Q768717,private collection
Q1192305,Smithsonian American Art Museum
Q1744024,Slovak National Gallery
Q132783,Hermitage Museum
Q2087788,National Gallery of Armenia
Q1338832,National Gallery of Modern Art, New Delhi‎
Q671384,Statens Museum for Kunst
Q56189782,Art Museum of Estonia's painting collection
Q795228,National Gallery of Australia
Q160112,Museo del Prado
Q1464509,National Gallery of Victoria
Q3783572,Harvard Art Museums
Q1568434,Yale University Art Gallery
Q3044768,Department of Paintings of the Louvre
Q1459037,Royal Collection
Q190804,Rijksmuseum
Q653002,Staatliche Kunstsammlungen Dresden
Q430682,Tate
Q180788,National Gallery
Q1132918,National Museum of Art, Architecture and Design
Q23402,Musée d'Orsay
Q657415,Cleveland Museum of Art
Q303139,Belvedere
Q1068063,National Gallery of Canada
Q214867,National Gallery of Art
Q55986655,Tartu Art Museum's painting collection
Q1201549,Detroit Institute of Arts
Q705551,Art Gallery of New South Wales
Q49133,Museum of Fine Arts
Q2051997,National Galleries of Scotland
Q7374509,Royal Museums Greenwich
Q2338135,Musée national des beaux-arts du Québec
Q95569,Kunsthistorisches Museum
Q840886,Museum of Fine Arts, Budapest
Q2603905,Princeton University Art Museum
Q252071,Hungarian National Gallery
Q510324,Philadelphia Museum of Art
Q238587,National Portrait Gallery
Q239303,Art Institute of Chicago
Q1356138,National Museum
Q1820897,Amsterdam Museum
Q1471477,Royal Museum of Fine Arts Antwerp
Q700222,Berlinische Galerie
Q2066737,Instituut Collectie Nederland
Q2018379,National Gallery of Ireland
Q3094652,East Slovak Gallery
Q809600,Fogg Museum
Q924335,Stedelijk Museum Amsterdam
Q1967614,National Portrait Gallery
Q639791,Whitney Museum of American Art
Q195311,National Museum in Kraków
Q4819492,Auckland Art Gallery
Q2970522,Cincinnati Art Museum
Q14708424,Gilcrease Museum
Q50751848,Orava Gallery
Q1641836,Los Angeles County Museum of Art
Q1816301,Seattle Art Museum
Q640447,Musée Carnavalet
Q705557,Art Gallery of South Australia
Q1542668,Groninger Museum
Q2493390,Arthur M. Sackler Museum
Q1952033,Pennsylvania Academy of the Fine Arts
Q59546080,Musée des Beaux-Arts de la ville de Paris
Q6352575,Yale Center for British Art
Q679527,Museum Boijmans Van Beuningen
Q188740,Museum of Modern Art
Q260913,Centraal Museum
Q1117704,Indianapolis Museum of Art
Q1356352,Victoria Memorial
Q1565911,Museum of Fine Arts, Houston
Q848313,Fries Museum
Q1416890,Fine Arts Museums of San Francisco
Q574961,Frans Hals Museum
Q1970945,Albright–Knox Art Gallery
Q2148186,Rhode Island School of Design Museum
Q915603,Museum of New Zealand Te Papa Tongarewa
Q2817221,National Portrait Gallery of Sweden
Q658725,Staatliche Kunsthalle Karlsruhe
Q1976985,The Nelson-Atkins Museum of Art
Q700216,Berlin State Museums
Q857276,Musée d'art moderne de Paris
Q2365880,Museum of Fine Arts Ghent (MSK)
Q913415,Bratislava City Gallery
Q1421440,Fitzwilliam Museum
Q28045665,Stichting Nederlands Kunstbezit
Q460889,Museo Nacional Centro de Arte Reina Sofía
Q28045674,Rijksdienst Beeldende Kunst
Q861252,Museu Nacional d'Art de Catalunya
Q16517556,Central Slovakian Gallery
Q2362660,M Leuven
Q578485,The Phillips Collection
Q163804,Städel Museum
