Q3305213,painting
Q93184,drawing
Q860861,sculpture
Q18761202,watercolor painting
Q14745,furniture
Q169031,glove
Q2741056,cabinet
Q245005,teapot
Q17489160,bust
Q57216,plate
Q29527347,figure
Q112053,tailcoat
Q63495428,side chair
Q1907525,pistol
Q1363377,folio
Q720106,scroll
Q5647631,handscroll
Q741226,byōbu
Q191851,vase
Q11285759,armchair
Q1064538,quilt
Q1513987,sampler
Q16180001,tumbler
Q2188827,hanging scroll
Q879050,manor house
Q200539,dress
Q125191,photograph
Q1902763,mixed media
Q29353484,ensemble
Q153988,bowl
Q1207302,jar
Q11060274,print
Q249975,sack-back gown
Q170063,wedding dress
Q3391846,plate armor
Q7236012,powder horn
Q1173065,album
Q35473,window
Q80228,bottle
Q188075,box
Q22075301,textile artwork
Q746549,dish
Q79137673,screen
Q1497375,architectural ensemble
Q1908472,evening wear
Q2144456,evening dress
Q1190417,baseball card
Q635784,ball gown
Q2001719,pelisse
Q15026,chair
Q31732,nativity scene
Q2413314,jug
Q81206146,American face vessels
Q18219090,woodcut print
Q833823,beaker
Q499916,brooch
Q404785,ewer
Q79218,triptych
Q15727816,painting series
Q535067,sauce boat
Q189299,necklace
Q11469,glass
Q173603,helmet
Q12791,sword
Q3671179,Japanese armor
Q5,human
Q1066288,figurine
Q1348059,panel
Q28823,textile
Q4364339,plaque
Q118532,riding boot
Q184296,tapestry
Q368972,lacquerware
Q831477,prayer nut
Q1772,epitaph
Q130693,porcelain
Q3045706,e-hon
Q19960510,series of prints
Q131647,medal
Q201714,tunic
Q838312,pin
Q152574,coat
Q14660,flag
Q29401858,round gown
Q930924,bodice
Q29528636,underdress
Q68352277,Evening ensemble
Q3446398,tankard
Q81727,Cup
Q386589,Ō-yoroi
Q48498,illuminated manuscript
Q2111434,pendant
Q351853,ivory carving
Q571,book
Q987767,container
Q838948,work of art
Q9053464,costume
Q161439,jewelry
Q3355832,crossguard
Q3049247,Egoyomi
Q245117,relief sculpture
Q1144689,folding screen
Q20793164,armor
Q7725634,literary work
Q18593264,item of collection or exhibition
Q1326509,girandole
Q5994,piano
Q254554,picture book
Q11032,newspaper
Q614806,suit
Q557164,inro
Q14169227,chest of drawers
Q28913685,woodblock print
Q7859825,tyg
Q452858,polonaise
Q345127,robe
Q18281,embroidery
Q2119869,targe
Q17379525,pottery ware
Q4010399,dressing gown
Q11284623,afternoon dress
Q816871,woodworking
Q4063892,riding habit
Q14748,table
Q17749756,Q17749756
Q11835431,engraving
Q7104012,orphrey
Q851782,tableware
Q168456,earring
Q535576,bustle
Q180225,corset
Q860792,picture frame
Q181947,crossbow
Q837249,marble sculpture
Q115488,medallion
Q5436787,fashion plate
Q21061279,stained glass window
Q21281546,gouache painting
Q1034198,cape
Q1352349,architectural model
Q1149531,bonnet
Q95966197,kast
Q953045,metalworking
Q29382731,metal artwork
Q849964,jacket
Q1615491,robe à l'anglaise
Q876824,slipper
Q180516,room
Q598227,militaria
Q50414774,armor
Q18456246,dinner dress
Q2647254,study
Q12872,potato masher
Q1138737,lamp
Q213924,codex
Q8343,clarinet
Q29405103,court dress
Q2481648,champlevé
Q2383211,wash basin
Q613972,tray
Q23657361,photogravure print
Q1604733,chemise
Q201097,basket
Q1264081,censer
Q916651,thangka
Q179700,statue
Q167037,corporation
Q8037437,woven coverlet
Q661199,dining room
Q837185,kaftan
Q19969434,scroll painting
Q29472861,valance
Q190868,boot
Q212989,swimsuit
Q18573970,group of paintings
Q475476,diptych
Q17126091,textile sample
Q7190637,pichhwai
Q7096642,opera coat
Q131514,couch
Q925572,dolman
Q4792469,arm ring
Q4405380,carpet bag
Q97703659,crinoline
Q22676,shoe
Q7962668,wall panel
Q16905563,cycle of paintings
Q12043905,pastel
Q330946,blade
Q654077,tantō
Q18218093,etching print
Q3666631,secretary desk
Q132397,pitcher
Q1167248,mantua
Q29003745,historical costume
Q26267225,flintlock rifle
Q958210,vest
Q1757923,carte de visite
Q57206278,time-based media
Q18812395,wine cooler
Q35197,mirror
Q376,clock
Q1758043,tsuba
Q2269650,lampas
Q97995889,lace-patterned silk
Q17075701,portière
Q193220,hand fan
Q28972621,headdress
Q2990690,compote bowl
Q39397,axe
